Industry,MCC,MCC Title,MCC Description,Included in MCC,Connect/ISV Sub-Merchants,Pay/ISO/Direct Merchants,AML Risk Rating,Loss Risk Rating,Add'l Requirements,CNP Delayed Delivery,CP/ACH Delayed Delivery
entertainment services,7999,recreation services–not elsewhere classified,merchants classified with this mcc provide a wide variety of recreation and entertainment services that require active physical participation and that are not classified with a more specific mcc. ,"aircraft rentals
ballooning
batting cages
bicycle rentals including
 electric scooters
fishing/hunting licenses
games instruction
golf – driving ranges
horseback riding
instruction – games
miniature golf
motorcycle rentals
parachuting
pools – public swimming
public swimming pools
recreational services –
 aircraft rentals
recreational services –
 driving ranges
recreational services –
 miniature golf
recreational services –
public swimming pools
recreational services –
 ski slopes
recreational services –
 sport, games instruction
rentals – aircraft
resorts – ski
roller skating rinks
services – recreation
shooting ranges
ski slopes
sky diving
sports instruction
swimming pools – public",restricted/high risk,restricted/high risk,3,2,,3,2
"doctors, dentists, hospitals & related services",8011,doctors–not elsewhere classified,merchants classified with this mcc are licensed physicians engaged in a practice of general or specialized medicine and surgery that is not classified with a more specific mcc.,"cosmetic surgeons
dermatologists
gynecologists
medical professionals –
 doctors
neurologists
obstetricians
orthopedists
pediatricians
physicians
plastic surgeons
psychiatrists
radiologists
surgeons",restricted/high risk,restricted/high risk,3,2,,2,2
"doctors, dentists, hospitals & related services",8021,dentists and orthodontists,merchants classified with this mcc are licensed physicians that practice general or specialized dentistry such as dental surgery.,,restricted/high risk,restricted/high risk,3,2,,2,2
"doctors, dentists, hospitals & related services",8031,osteopathic physicians,merchants classified with this mcc provide therapy involving the non-surgical manipulation and adjustment of bone structures.,osteopaths,restricted/high risk,restricted/high risk,3,1,,2,2
"doctors, dentists, hospitals & related services",8041,chiropractors,merchants classified with this mcc provide therapy in which the spinal column and limbs are manipulated or adjusted.,,restricted/high risk,restricted/high risk,3,1,,2,2
"doctors, dentists, hospitals & related services",8042,optometrists and ophthalmologists,"merchants classified with this mcc are licensed physicians that examine and treat eye defects with corrective eyeglasses or contacts or surgical techniques, treat eye diseases, and may fill contact or eyeglass prescriptions and sell eyeglass frames.",eye doctors,restricted/high risk,restricted/high risk,3,1,,2,2
"doctors, dentists, hospitals & related services",8043,"opticians, optical goods and eyeglasses","merchants classified with this mcc perform eye examinations, write prescriptions, make and sell eyeglasses, and sell other optical goods.",,restricted/high risk,restricted/high risk,3,2,,20,8
"doctors, dentists, hospitals & related services",8044,optical goods and eyeglasses,,eyeglass stores ,prohibited,,3,4,,20,8
"doctors, dentists, hospitals & related services",8049,"chiropodists, podiatrists",merchants classified with this mcc are licensed physicians specializing in diagnosing and treating foot ailments.,"doctors – chiropodists,
 podiatrists
foot doctors
medical professionals –
 podiatrists
podiatrists",restricted/high risk,restricted/high risk,3,1,,15,2
"doctors, dentists, hospitals & related services",8050,nursing and personal care facilities,"merchants classified with this mcc provide inpatient nursing and health-related personal care services and operate convalescent/nursing homes, hospice facilities, and other long-term care facilities that generally do not offer surgery.","convalescent homes
elder housing
hospice facilities
nursing homes
rest homes
elder care",restricted/high risk,restricted/high risk,3,3,,15,2
"doctors, dentists, hospitals & related services",8062,hospitals,"merchants classified with this mcc are hospitals that provide diagnostic services, extensive medical treatment, surgery, continuous nursing services, mental and psychiatric care, and other hospital services.",,restricted/high risk,restricted/high risk,3,3,,2,1
"doctors, dentists, hospitals & related services",8071,dental and medical laboratories,merchants classified with this mcc provide medical and dental laboratory services.,,restricted/high risk,restricted/high risk,3,1,,2,2
"doctors, dentists, hospitals & related services",8099,"health practitioners, medical services–not elsewhere classified",merchants classified with this mcc are medical professionals that are not classified with a more specific mcc.,"blood banks
chemical dependency
 treatment centers
fertility clinics
hair replacements –
 surgical
health practitioners,
 medical services
hearing testing services
massage – therapeutic
medical professionals –
 medical services, health
 practitioners
mental health
 practitioners
physical therapists
psychiatrists
psychologists
services – medical
 services, health
 practitioners
sports medicine clinics
therapists",restricted/high risk,restricted/high risk,3,3,,2,2
business & professional services,8111,"attorneys, legal services",merchants classified with this mcc are headed by members of the bar and provide legal advice and services.,"attorneys
law offices
lawyers
legal administrative services",restricted/high risk,restricted/high risk,4,4,,15,2
"schools, colleges, & child care services",8211,"schools, elementary and secondary",merchants classified with this mcc are elementary and secondary schools that provide academic instruction.,"grade schools
grammar schools
high schools
middle schools
schools – kindergartens",restricted/high risk,restricted/high risk,1,1,,15,2
"schools, colleges, & child care services",8220,"colleges, universities, professional schools and junior colleges","merchants classified with this mcc are community and junior colleges, universities, theological seminaries and professional schools (such as dental, law, engineering, medical) that provide academic courses and grant academic degrees.","community colleges
graduate schools",restricted/high risk,restricted/high risk,1,4,,45,2
"schools, colleges, & child care services",8241,"schools, correspondence",merchants classified with this mcc are correspondence schools that offer educational and instruction through the mail/internet by sending lessons and examinations to the student.,,,,3,4,,45,2
"schools, colleges, & child care services",8244,"schools, business and secretarial","merchants classified with this mcc are business and secretarial schools that offer general business training such as, office procedures, word processing, stenographic, and other clerical skills.",computer training,restricted/high risk,,3,4,,45,2
"schools, colleges, & child care services",8249,"schools, trade and vocational","merchants classified with this mcc offer training and instruction in specialized professions such as welding, mechanics, carpentry, real estate, and truck driving.",technical institutes,restricted/high risk,,3,4,,45,2
"schools, colleges, & child care services",8299,schools and educational services–not elsewhere classified,merchants classified with this mcc offer educational courses and services that are not classified with a more specific mcc.,"art schools
automobile driving
 instruction
aviation instruction
cooking schools
culinary instruction
driver education class,
 school
flying instruction
job training services
karate schools
modeling schools
schools – art
schools – automobile
 driving instruction
schools – cooking
schools – flying instruction
schools – karate
schools – modeling
services – job training
services – schools,
 educational services
traffic school",restricted/high risk,restricted/high risk,1,4,,45,2
"schools, colleges, & child care services",8351,child care services,merchants classified with this mcc provide care for infants or children.,"babysitting services
children – day care
 services
day care services
nannies
nursery schools
preschool centers
day care services",,,1,2,,15,2
"charitable & social clubs, membership organizations",8398,"organizations, charitable and social service","merchants classified with this mcc are non-political fund-raising organizations engaged in soliciting charitable donations/contributions on behalf of organizations engaged in social welfare services, or social service organizations engaged in social welfare services. this mcc also includes crowd funding merchants that accept donations on behalf of individuals raising money for various causes without receiving any perceived or actual financial benefit for doing so.","fund-raising organizations
 – non-political
organizations – non-
 political
public radio, television
crowd funding merchants",restricted/high risk,restricted/high risk,5,3,,1,1
"charitable & social clubs, membership organizations",8641,"associations–civic, social and fraternal","merchants classified with this mcc are associations engaged in civic, social, or fraternal activities.","alumni/alumnae
associations
associations – civic, social,
 fraternal associations
chambers of commerce
fraternal associations
fund-raising – political
police athletic leagues
 (pal)
social associations, clubs
veterans’ organizations",prohibited,restricted/high risk,3,1,,15,2
"charitable & social clubs, membership organizations",8651,"organizations, political","merchants classified with this mcc are membership organizations that promote the interests of or raise funds for a national, state, or local political party or candidate.",political fundraising,prohibited,restricted/high risk,5,2,,5,1
"charitable & social clubs, membership organizations",8661,"organizations, religious","merchants classified with this mcc are religious organizations that provide worship services, religious training or study, or religious activities.","chapels
churches
mosques
synagogues
temples",restricted/high risk,restricted/high risk,3,2,,5,1
"charitable & social clubs, membership organizations",8675,automobile associations,merchants classified with this mcc are automobile associations and clubs that provide a variety of travelrelated services to its members.,automobile club,prohibited,restricted/high risk,3,2,,15,2
"charitable & social clubs, membership organizations",8699,"organizations, membership–not elsewhere classified",merchants classified with this mcc are organizations or associations that are not classified with a more specific mcc.,"art clubs
historical clubs
labor unions
organizations –
 membership
 organizations
poetry clubs
professional organizations
 tenant associations
condominium associations
hoas
unions – labor",restricted/high risk,,3,4,,15,2
business & professional services,8734,testing laboratories (non-medical),"merchants classified with this mcc provide testing services (such as automobile testing, calibration and certification, food testing, forensic testing, product and pollution testing, and industrial x-ray inspection services).","food testing services
forensic laboratories
pollution testing
product testing
 laboratories
veterinary testing
 laboratories",prohibited,,3,1,,10,2
business & professional services,8911,"architectural, engineering and surveying services","merchants classified with this mcc provide professional architectural, home and building design, boat design, and engineering, land, water, and aerial surveying services.",,restricted/high risk,,1,2,,10,2
business & professional services,8931,"accounting, auditing and bookkeeping services","merchants classified with this mcc provide accounting, bookkeeping, billing and payroll services, and other related auditing services, and may also provide income tax preparation services.",,,,3,3,,10,2
business & professional services,8999,professional services–not elsewhere classified,merchants classified with this mcc provide professional services that are not classified with a more specific mcc.,"appraisers
auction houses
brokers – mortgage, loan
court stenographer
financial planners
graphic designers
guest speakers, lecturers
lecturers
market research firms
mortgage brokers
property appraisers
public speakers
real estate appraisers
research firms",restricted/high risk,restricted/high risk,4,3,,10,2
government & gambling services,9034,i-purchasing pilot,,,,,3,1,,1,2
government & gambling services,9211,court costs including alimony and child support,"merchants classified with this mcc are local, state, and federal courts of law that administer and process court fees, alimony, and child support payments.",,prohibited,,3,1,,1,2
government & gambling services,9222,fines,"merchants classified with this mcc are government entities that administer and process local, state, and federal fines and penalties, motor vehicle violations, and community- or property-assessed fines.","community assessed
 penalties
motor vehicle violations",prohibited,,3,1,,1,1
government & gambling services,9223,bail and bond payments,merchants classified with this mcc post bail to the court system as security for the appearance of the arraigned individual.,,prohibited,prohibited,3,1,,1,1
government & gambling services,9311,tax payments,"merchants classified with this mcc are local, state, and federal entities that engage in financial administration and taxation including collection of taxes and penalties and custody and disbursement of funds.",customs bureaus,prohibited,,3,1,,1,1
government & gambling services,9399,government services–not elsewhere classified,merchants classified with this mcc are government entities that provide general support services to government and communities are not classified with a more specific mcc.,"dmv
department of motor
 vehicles
fire departments
libraries
parks and recreation
police departments",prohibited,,3,2,,1,1
government & gambling services,9402,postal services–government only,merchants classified with this mcc are government postal offices that provide a variety of services such as accepting and processing packages and mail for delivery and selling postage stamps.,,prohibited,,3,1,,1,1
government & gambling services,9405,intra-government purchases–government only,merchants classified with this mcc process u.s. federal government transactions using an acquiring bin associated with the intra-government transfers (igots) program.,,prohibited,,3,1,,1,1
government & gambling services,9700,automated referral service,,,prohibited,,5,3,,1,1
government & gambling services,9701,visa credential server,,,prohibited,,5,3,,1,1
government & gambling services,9702,gcas emergency services,this mcc is used only by visa to enable members and processors to identify emergency transactions from the global customer assistance services (gcas).,,prohibited,,3,1,,1,1
government & gambling services,9754,"gambling-horse, dog racing, state lottery",,,prohibited,prohibited,6,6,,1,1
government & gambling services,9950,intra-company purchases,merchants classified with this mcc process purchasing card transactions representing internal unit-to-unit transfers of goods and services.,,prohibited,,3,1,,1,1
